Seq_id	Size	Description
1	4503487	CP045163.1
2	4605437	CP009836.1
3	4662886	CP009785.1
4	4659530	CP009723.1
5	4702289	CP000308.1
6	4596548	CP045158.1
7	4517345	CP000668.1
8	4528383	CP006762.1
9	4556337	CP009973.1
10	4563069	CP010293.1
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
1	-	1157083	1151732	5352
1	-	328612	323528	5085
1	+	3439635	3445046	5412
1	+	3898851	3904262	5412
1	+	3941715	3947126	5412
1	+	4108267	4113618	5352
1	+	4452081	4457432	5352
2	-	1811469	1806138	5332
2	-	2641424	2636073	5352
2	+	418722	424133	5412
2	+	1431222	1436573	5352
2	+	878035	883446	5412
2	+	920900	926311	5412
2	+	1087421	1092772	5352
3	-	1446447	1441036	5412
3	-	2015705	2010294	5412
3	+	4447806	4453157	5352
3	-	1489311	1483900	5412
3	-	1279810	1274459	5352
3	+	989647	994731	5085
4	+	2714508	2719859	5352
4	+	3917300	3922384	5085
4	-	4203553	4198203	5351
4	-	4372132	4366721	5412
4	-	4414996	4409585	5412
4	-	280647	275236	5412
5	-	19370	14019	5352
5	-	141370	136019	5352
5	+	4032344	4037758	5415
5	-	639357	634007	5351
5	+	3942729	3947814	5086
5	+	3828997	3834417	5421
5	+	3080425	3085836	5412
6	+	4113898	4118982	5085
6	+	4545142	4550493	5352
6	-	245344	239993	5352
6	-	411315	405904	5412
6	-	454179	448768	5412
6	+	3281695	3287046	5352
6	-	913476	908065	5412
7	+	4279837	4285188	5352
7	+	3300772	3306123	5352
7	+	4039367	4044718	5352
7	+	1833948	1839299	5352
7	+	3876789	3882200	5412
7	-	178005	172594	5412
7	+	4466254	4471338	5085
8	-	2186856	2181505	5352
8	-	2913702	2908351	5352
8	-	3648869	3643518	5352
8	+	1957806	1962888	5083
8	+	1520664	1526015	5352
8	+	1609327	1614738	5412
8	+	1771390	1776740	5351
9	-	3099019	3093668	5352
9	+	1605331	1610682	5352
9	+	2810806	2815891	5086
9	-	3308382	3302971	5412
9	-	3835381	3829970	5412
9	-	3265518	3260106	5413
10	+	3491190	3496523	5334
10	+	4441976	4447389	5414
10	-	319494	314143	5352
10	-	195484	190133	5352
10	+	4399112	4404523	5412
10	+	2712308	2717659	5352
10	+	3076161	3081575	5415
--------------------------------------------------------------------------------
Block #2
Seq_id	Strand	Start	End	Length
1	+	645188	672087	26900
2	+	2129739	2156638	26900
3	-	308909	281976	26934
4	-	3238499	3211566	26934
5	-	3494813	3467880	26934
6	-	3795375	3768476	26900
7	+	480594	507122	26529
8	+	3216041	3242569	26529
9	-	2129324	2102391	26934
10	-	4365963	4339030	26934
