Panaspis breviceps,—,ZFMK 75380,"Mt. Nlonako, Cameroon",KU236796,KU298800,KU298873,—
Panaspis cabindae,WRB 804,PEM R20256,"Soyo, NW Angola",KU236768,KU298775,KU298851,KU298708
Panaspis cabindae,PM 050,uncatalogued,"Luango-Nzambi, Bas-Congo, DRC",KU236751,KU298758,KU298834,KU298698
Panaspis cabindae,PM 049,uncatalogued,"Luango-Nzambi, Bas-Congo, DRC",KU236750,KU298757,KU298833,KU298697
Panaspis cabindae,WRB 810,PEM R21594,"Riverine Forest, Bengo, Angola",KU236765,KU298772,KU298848,KU298705
Panaspis cabindae,ANG 21,PEM R19467,"Lagoa Carumbo, Angola",KU236741,KU298749,KU298826,KU298690
Panaspis cabindae,ELI 1722,UTEP 21173,"Bombo-Lumene Reserve, Kinshasa, DRC",KU236753,KU298760,KU298836,—
Panaspis cabindae,ANL 52,MTD 48612,"Kimpa Vita Uni Campus, Uíge, N Angola",KU236771,—,KU298854,—
Panaspis cabindae,MBUR 2128,uncatalogued,"S Leba Pass, Huila District, SW Angola",KU236740,KU298748,KU298825,—
Panaspis maculicollis,ANG 421,PEM R20475,"Benero Campsite, near Jamba, Angola",KU236770,K  U298778,KU298853,KU298711
Panaspis maculicollis,MBUR 02843,uncatalogued,"Phalaborwa, Limpopo, SA",KU236748,KU298755,KU298831,KU298695
Panaspis maculicollis,MBUR 02848,uncatalogued,"Phalaborwa, Limpopo, SA",KU236749,KU298756,KU298832,KU298696
Panaspis maculicollis,MCZF 38848,CAS 234188,"Farm Nooitgedacht, Limpopo Province, SA",KU236728,KU298736,KU298816,KU298684
Panaspis maculicollis,MCZF 38790,CAS 234135,"Farm Vrienden, Limpopo Province, SA",KU236747,KU298754,KU298830,KU298694
Panaspis maculicollis,MCZF 38733,CAS 234099,"Farm Vrienden, Limpopo Province, SA",KU236720,KU298728,KU298808,KU298678
Panaspis sp. Ethiopia,TJC 264,—,"Oromia, western Ethiopia",KU236752,KU298759,KU298835,—
Panaspis sp. Katanga 1,ELI 294,UTEP 21174,"Mulongo, Katanga, DRC",KU236730,KU298738,KU298818,KU298686
Panaspis sp. Katanga 1,ELI 295,UTEP 21175,"Mulongo, Katanga, DRC",KU236729,KU298737,KU298817,KU298685
Panaspis sp. Katanga 2,WRB 575,PEM R17454,"Kalakundi Copper Mine, S Katanga, DRC",KU236736,KU298744,KU298822,KU298689
Panaspis sp. Katanga 2,WRB 576,PEM R17455,"Kalakundi Copper Mine, S Katanga, DRC",KU236737,KU298745,KU298823,—
Panaspis sp. Katanga 2,JHK 26,uncatalogued,"Kisanfu Camp, Katanga, DRC",KU236726,KU298734,KU298814,KU298682
Panaspis sp. Katanga 2,WRB 0047,PEM R20327,"Fungurume Camp, Katanga, DRC",KU236745,KU298752,KU298829,—
Panaspis sp. Katanga 2,WRBNimb083,—,NW Zambia,KU236742,KU298750,KU298827,KU298691
Panaspis sp. Limpopo,MCZ-A 27176,—,"Hoedspruit, Limpopo, SA",KU236743,KU298751,KU298828,KU298692
Panaspis sp. Limpopo,MCZ-A 27177,CAS 248791,"Hoedspruit, Limpopo, SA",KU236744,—,—,—
Panaspis sp. Malawi,WRB 568,PEM R20247,"Sombani Trail, Mt. Mulanje, Malawi",KU236732,KU298740,KU298819,KU298687
Panaspis sp. Malawi,WRB 570,PEM R20800,"Likabula Station, Mt. Mulanje, Malawi",KU236733,KU298741,—,—
Panaspis sp. Mozambique 1,WC 1251,PEM R20561,"Ecofarm, Chemba, Moz",KU236764,KU298771,KU298847,KU298704
Panaspis sp. Mozambique 1,WC 1249,no voucher,"Ecofarm, Chemba, Moz",KU236763,KU298770,KU298846,—
Panaspis sp. Mozambique 1,WC 1169,PEM R20565,"Boabab Ore Mine, Masamba, Moz",KU236761,KU298768,KU298844,—
Panaspis sp. Mozambique 1,WC 1186,PEM R20566,"Boabab Ore Mine, Masamba, Moz",KU236762,KU298769,KU298845,—
Panaspis sp. Mozambique 1,SVN 693,—,"Gorongosa National Park, Moz",KU236754,KU298761,KU298837,KU298699
Panaspis sp. Mozambique 1,WRB 886,PEM R20591,"Ruoni Hill S, Tete Province, Moz",KU236769,KU298777,—,KU298710
Panaspis sp. Mozambique 2,WC 1358,uncatalogued,"Quiterajo, Cabo Delgado, Moz",KU236776,—,KU298859,—
Panaspis sp. Mozambique 2,ENI 038,uncatalogued,"Mocimboa da Praia, Cabo Delgado, Moz",KU236780,—,—,—
Panaspis sp. Mozambique 3,WC 1051,no voucher,"NW of Rapale, Nampula, Moz",KU236772,KU298779,KU298855,—
Panaspis sp. Mozambique 3,WC 1067,PEM R20557,"E of Ribuae, Nampula, Moz",KU236773,KU298780,KU298856,—
Panaspis sp. Mozambique 3,WC 1133,no voucher,"NW of Mecuburi, Nampula, Moz",KU236774,K  U298781,KU298857,—
Panaspis sp. Mozambique 3,WC 1161,PEM R20558,"Rapale, Nampula, Moz",KU236778,KU298784,KU298861,—
Panaspis sp. Mozambique 4,WRB 855,PEM R20569,"Syran graphite mine, Balama, Moz",KU236766,KU298773,KU298849,KU298706
Panaspis sp. Mozambique 4,WRB 856,PEM R20576,"Syran graphite mine, Balama, Moz",KU236767,KU298774,KU298850,KU298707
Panaspis sp. Mozambique 4,WC 1317,uncatalogued,"Pemba, Cabo Delgado, Moz",KU236775,KU298782,KU298858,—
Panaspis sp. Mozambique 4,WC 1404,uncatalogued,"Pemba, Cabo Delgado, Moz",KU236777,KU298783,KU298860,—
Panaspis sp. Mozambique 4,ENI 037,uncatalogued,"Quirimbas National Park, Moz",KU236779,KU298785,KU298862,—
Panaspis sp. Mozambique 5,DMP 187,MVZ 266148,"Serra Jeci, Moz",KU236739,KU298747,—,—
Panaspis sp. Namibia,AMB 7634,MCZ R183767,"Sesfontein, Namibia",KU236727,KU298735,KU298815,KU298683
Panaspis sp. Namibia,WRB 567,uncatalogued,"Otavi, Namibia",KU236731,KU298739,—,—
Panaspis sp. Tanzania 1,WRB 0021,—,"Arusha, Tanzania",KU236719,KU298727,KU298807,KU298677
Panaspis sp. Tanzania 1,WRB 0026,—,"Arusha, Tanzania",KU236718,KU298726,KU298806,KU298676
Panaspis sp. Tanzania 2,WRB 572,PEM R16769,"Klein's Camp, Serengeti, Tanzania",KU236734,KU298742,KU298820,—
Panaspis sp. Tanzania 2,WRB 573,PEM R20799,"Klein's Camp, Serengeti, Tanzania",KU236735,KU298743,KU298821,KU298688
Panaspis togoensis,—,ZFMK 42212,—,KU236788,KU298793,KU298867,—
Panaspis togoensis,2426,MVZ 249793,"Kyabobo National Park, Ghana",KU236795,KU298799,KU298872,—
Panaspis togoensis,DCB 34707,—,"Gashaka Gumti National Park, Nigeria",KU236725,KU298733,KU298813,—
Panaspis togoensis,TJH 2561,TCWC 94519,"W National Park, Alibori, Benin",KU236756,KU298763,KU298839,—
Panaspis togoensis,TJH 2629,TCWC 94557,"Dogo Forest, Benin",KU236758,KU298765,KU298841,KU298701
Panaspis togoensis,TJH 2600,TCWC 94544,"W National Park, Alibori, Benin",KU236757,KU298764,KU298840,—
Panaspis wahlbergi,SVN 742,NMB R10286,"Beira, Mozambique",KU236755,KU298762,KU298838,KU298700
Panaspis wahlbergi,WRB 745,PEM R16455,"Bluff, Durban, Kwazulu-Natal, SA",—,KU298776,KU298852,KU298709
Panaspis wahlbergi,WC 2723,PEM R21297,"Doornkop Reserve, Mpumalanga, SA",KU236782,KU298787,—,KU298713
Panaspis wahlbergi,WC 2721,PEM R21298,"Doornkop Reserve, Mpumalanga, SA",KU236781,KU298786,—,KU298712
Panaspis wahlbergi,DMP 127,MVZ 266147,"Inhambane, Mozambique",KU236738,KU298746,KU298824,—
Panaspis wahlbergi,—,TM 84299,"Groblersdal, Limpopo, SA",KU236746,KU298753,—,KU298693
