Seq_id	Size	Description
1	4503487	CP045163.1
2	4605437	CP009836.1
3	4662886	CP009785.1
4	4659530	CP009723.1
5	4702289	CP000308.1
6	4596548	CP045158.1
7	4517345	CP000668.1
8	4528383	CP006762.1
9	4556337	CP009973.1
10	4563069	CP010293.1
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
1	+	97724	99677	1954
1	+	3740778	3742731	1954
1	-	2752779	2750826	1954
1	+	4413199	4414617	1419
1	+	2422305	2424258	1954
1	-	3004197	3002244	1954
1	-	323165	321212	1954
1	-	2100421	2098480	1942
1	+	2624458	2626338	1881
1	-	1108128	1106175	1954
1	+	3627579	3629531	1953
1	+	1729131	1731084	1954
1	-	1168679	1166726	1954
1	-	563440	561487	1954
1	+	2326408	2328846	2439
1	+	1887966	1889919	1954
1	-	4165819	4163899	1921
1	-	3962339	3960386	1954
1	+	3103125	3105311	2187
1	+	4229422	4231375	1954
1	+	2013235	2015188	1954
1	+	3415921	3417875	1955
1	-	3937513	3935560	1954
1	+	2517636	2519459	1824
1	-	1476237	1474284	1954
1	-	353414	351461	1954
1	+	3209747	3211700	1954
1	+	2240089	2242042	1954
1	-	1543869	1541916	1954
1	+	3894739	3896692	1954
1	+	3452755	3455136	2382
1	-	795112	793161	1952
1	+	1031130	1033083	1954
2	-	2047991	2046038	1954
2	-	1903575	1901622	1954
2	-	1836022	1834069	1954
2	-	1805775	1803824	1952
2	+	1580352	1582305	1954
2	+	1391827	1393758	1932
2	-	1328224	1326275	1950
2	-	1144447	1143030	1418
2	-	4587480	4585528	1953
2	-	2279604	2277652	1953
2	+	2515463	2517414	1952
2	-	2592469	2590516	1954
2	-	2653019	2651067	1953
2	-	2960653	2958700	1954
2	-	3028285	3026332	1954
2	+	3213547	3215501	1955
2	+	3372414	3374366	1953
2	+	3473211	3475163	1953
2	+	3598508	3600461	1954
2	-	3685684	3683753	1932
2	+	3825364	3827317	1954
2	+	3911686	3914124	2439
2	+	4007583	4009536	1954
2	+	4207765	4209644	1880
2	-	4336084	4334132	1953
2	-	314913	312973	1941
2	+	431842	434223	2382
2	+	80978	83162	2185
2	-	941522	939571	1952
2	+	719952	721904	1953
2	+	395008	396962	1955
2	-	916698	914745	1954
2	+	187588	189540	1953
2	+	873923	875876	1954
2	+	606757	608709	1953
3	+	1425823	1427776	1954
3	+	1244393	1246647	2255
3	+	1140469	1142423	1955
3	+	1048473	1049854	1382
3	+	965566	967519	1954
3	+	899257	901210	1954
3	+	819879	821832	1954
3	+	759151	761104	1954
3	+	604541	606494	1954
3	+	434404	436357	1954
3	+	392617	394570	1954
3	-	314318	311868	2451
3	+	99420	101370	1951
3	+	148658	150610	1953
3	+	1450649	1452602	1954
3	-	1663835	1661889	1947
3	-	1712209	1710256	1954
3	-	1825674	1823725	1950
3	-	1906693	1904774	1920
3	-	2002041	2000029	2013
3	-	2039419	2037465	1955
3	+	2088312	2090265	1954
3	+	2180235	2182188	1954
3	-	2319698	2317745	1954
3	+	2389324	2391277	1954
3	-	2525925	2523972	1954
3	-	2617376	2615425	1952
3	+	2695246	2697430	2185
3	+	3374889	3376811	1923
3	-	3307478	3305526	1953
3	+	3219566	3221519	1954
3	+	3006328	3008282	1955
3	-	2973586	2971674	1913
3	-	2840126	2838247	1880
3	-	3435441	3433487	1955
3	-	3536241	3534288	1954
3	-	3695091	3693138	1954
3	+	3738947	3740900	1954
3	+	3823781	3825739	1959
3	+	3941226	3943178	1953
3	+	4047389	4049340	1952
3	+	4655061	4656915	1855
3	-	4524499	4522546	1954
3	+	4436192	4438145	1954
3	+	4390514	4392467	1954
3	-	4167008	4165055	1954
4	-	91846	89895	1952
4	+	3893219	3895172	1954
4	+	4168138	4170391	2254
4	+	4279765	4281718	1954
4	-	304360	302407	1954
4	+	353244	355197	1954
4	+	445168	447121	1954
4	+	652480	654432	1953
4	-	789071	787118	1954
4	-	880559	878606	1954
4	+	958465	960650	2186
4	+	4351509	4353462	1954
4	+	4376334	4378287	1954
4	-	4589527	4587574	1954
4	-	4637909	4635957	1953
4	-	1702016	1700063	1954
4	+	1641464	1643386	1923
4	-	1574017	1572064	1954
4	+	1486105	1488058	1954
4	+	1269537	1271490	1954
4	-	1236796	1234885	1912
4	-	1103337	1101456	1882
4	-	1802822	1800869	1954
4	-	1961672	1959719	1954
4	-	266983	264971	2013
4	+	2005528	2007481	1954
4	+	2090378	2092335	1958
4	+	2207822	2209772	1951
4	+	2313983	2315936	1954
4	-	2433620	2431667	1954
4	+	2657113	2659066	1954
4	+	2702894	2704847	1954
4	-	2791200	2789249	1952
4	+	2921761	2923615	1855
4	+	3029005	3030954	1950
4	+	3078242	3080194	1953
4	-	3243908	3241458	2451
4	+	3322217	3324170	1954
4	+	3364003	3365957	1955
4	+	3534141	3536094	1954
4	+	3688752	3690705	1954
4	+	3826910	3828863	1954
5	+	201000	202940	1941
5	+	106304	108256	1953
5	+	5466	7419	1954
5	+	3094684	3096637	1954
5	+	3056744	3058697	1954
5	+	3005686	3007639	1954
5	+	2917162	2919115	1954
5	+	2846702	2848655	1954
5	+	2785744	2787697	1954
5	+	2737979	2739932	1954
5	-	2660132	2657949	2184
5	+	2552755	2554708	1954
5	-	2496400	2494447	1954
5	-	2382460	2380507	1954
5	+	2321140	2323093	1954
5	+	2253229	2255109	1881
5	-	2150737	2148801	1937
5	-	1193011	1191058	1954
5	+	1117659	1119612	1954
5	+	1056081	1058034	1954
5	+	867936	869889	1954
5	-	834205	832252	1954
5	-	792566	790613	1954
5	-	696752	694799	1954
5	-	650971	649018	1954
5	+	586958	588911	1954
5	+	512678	514628	1951
5	-	449687	447732	1956
5	-	411083	409130	1954
5	+	290761	292714	1954
5	+	1255814	1257767	1954
5	+	1307513	1309466	1954
5	-	1377659	1375706	1954
5	-	255270	253317	1954
5	-	3849630	3847677	1954
5	+	3917938	3919891	1954
5	+	3948178	3950131	1954
5	+	3990038	3991991	1954
5	+	4028232	4030185	1954
5	-	4071009	4069056	1954
5	-	4218485	4216230	2256
5	-	4323181	4321228	1954
5	+	4389064	4391017	1954
5	-	4457086	4455133	1954
5	+	4545167	4547120	1954
5	-	4615118	4613165	1954
5	+	4629479	4631432	1954
5	-	1580952	1579099	1854
5	+	1521293	1523246	1954
5	-	1474400	1472448	1953
5	+	1418538	1420491	1954
5	-	2100954	2099001	1954
5	+	2051441	2053394	1954
5	-	2013347	2011394	1954
5	+	1954122	1956034	1913
5	+	1872456	1874409	1954
5	-	1828251	1826298	1954
5	-	1724113	1722160	1954
5	+	1649262	1651215	1954
5	-	3187770	3185817	1954
5	+	3269362	3271315	1954
5	-	3364726	3362773	1954
5	+	3415195	3417148	1954
5	-	3500222	3498269	1954
5	+	3578520	3580473	1954
5	+	3605867	3607765	1899
5	-	3700146	3698193	1954
5	+	3738765	3740718	1954
5	-	3824795	3822842	1954
6	+	3067224	3069177	1954
6	+	3270099	3272052	1954
6	+	3350609	3352562	1954
6	-	3407648	3405697	1952
6	+	3513457	3515379	1923
6	+	3645501	3647454	1954
6	+	3795376	3797329	1954
6	+	3879083	3881036	1954
6	+	4089096	4091049	1954
6	-	4254838	4252885	1954
6	-	4309464	4307511	1954
6	+	4399599	4401552	1954
6	-	4462274	4460321	1954
6	+	4506696	4508649	1954
6	-	458291	456338	1954
6	-	612278	610325	1954
6	-	725471	723520	1952
6	+	856444	858264	1821
6	-	937189	935236	1954
6	-	978548	976595	1954
6	-	1145482	1143529	1954
6	-	1252113	1249930	2184
6	+	1351043	1352996	1954
6	-	1492785	1490832	1954
6	+	1533388	1535341	1954
6	+	1604840	1606793	1954
6	-	1733179	1731299	1881
6	-	1884203	1882250	1954
6	-	1934963	1933010	1954
6	+	415517	417470	1954
6	+	390692	392645	1954
6	-	239630	237677	1954
6	-	166845	164892	1954
6	+	2927368	2929321	1954
6	+	2859763	2861716	1954
6	-	2674474	2672521	1954
6	+	2649595	2651548	1954
6	-	2513611	2511658	1954
6	-	2471400	2469447	1954
6	-	2346178	2344225	1954
6	+	2258968	2260920	1953
6	-	2119197	2117244	1954
6	+	2078260	2080179	1920
6	-	2030945	2028470	2476
7	+	4442873	4444826	1954
7	-	4317736	4315782	1955
7	+	4275725	4277678	1954
7	-	4123813	4121860	1954
7	-	3872587	3870634	1954
7	+	3696002	3697955	1954
7	+	3486189	3488142	1954
7	-	3318037	3316087	1951
7	+	3277043	3278996	1954
7	+	3063315	3065268	1954
7	+	2958224	2960177	1954
7	+	2551849	2553802	1954
7	-	2302950	2300997	1954
7	+	1979108	1981061	1954
7	+	1893857	1895723	1867
7	+	1742666	1744620	1955
7	+	1649445	1651398	1954
7	-	1400740	1398787	1954
7	+	1293945	1295898	1954
7	+	1257288	1259241	1954
7	-	1169977	1168024	1954
7	-	907222	904468	2755
7	-	850821	848910	1912
